,Name,Platform,User_Scoree
0,Grand Theft Auto V,PS3,8.3
1,Grand Theft Auto V,X360,8.3
2,The Last of Us,PS3,9.2
3,BioShock Infinite,PS3,8.5
4,BioShock Infinite,PC,8.6
5,BioShock Infinite,X360,8.5
6,Super Mario 3D World,WiiU,8.9
7,Fire Emblem: Awakening,3DS,9.1
8,Rayman Legends,WiiU,8.7
9,Fez,PC,6.7
10,Rayman Legends,PS3,8.7
11,The Legend of Zelda: A Link Between Worlds,3DS,9
12,flower,PS4,7.2
13,Spelunky,PC,7.3
14,The Legend of Zelda: The Wind Waker HD,WiiU,8.9
15,Brothers: A Tale of Two Sons,PC,8.6
16,Dota 2,PC,6.5
17,Rayman Legends,X360,8.2
18,Skylanders Swap Force,WiiU,6.1
19,Rocksmith 2014 Edition,PC,7.9
20,Spelunky,PSV,7.9
21,Deus Ex: Human Revolution - Director's Cut,WiiU,8.5
22,Crusader Kings II: The Old Gods,PC,8.7
23,FIFA 14,XOne,5.8
24,Assassin's Creed IV: Black Flag,PS3,8.2
25,Star Wars Pinball: Balance of the Force,X360,6.1
26,XCOM: Enemy Within,X360,7.6
27,Pokemon Y,3DS,8.6
28,The Stanley Parable,PC,8
29,Guacamelee! Gold Edition,PC,7.3
30,Animal Crossing: New Leaf,3DS,8.7
31,Rocksmith 2014 Edition,X360,7.5
32,Pokemon X,3DS,8.6
33,Guacamelee!,PSV,8.3
34,The Swapper,PC,8.7
35,Tomb Raider,PS3,8.4
36,Rayman Legends,PSV,8.4
37,Tearaway,PSV,8.9
38,MLB 13: The Show,PS3,7.9
39,FIFA 14,PS4,6.3
40,Hotline Miami,PS3,8.3
41,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,X360,7.4
42,Pinball FX 2: Star Wars Pinball,X360,6.4
43,Europa Universalis IV,PC,8.8
44,Diablo III,X360,6.7
45,Pikmin 3,WiiU,8.7
46,Velocity Ultra,PSV,7.9
47,NBA 2K14,X360,4.9
48,Gone Home,PC,5.4
49,Pac-Man Championship Edition DX +,PC,7.5
50,Out of the Park Baseball 14,PC,8.2
51,NBA 2K14,XOne,5.7
52,Saints Row IV,PC,7.4
53,Need for Speed: Most Wanted U,WiiU,7.7
54,Tomb Raider,X360,8.6
55,Borderlands 2: Tiny Tina's Assault on Dragon Keep,X360,8.4
56,Grand Theft Auto V,XOne,7.8
57,Starcraft II: Heart of the Swarm,PC,7.9
58,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PS3,8
59,Brothers: A Tale of Two Sons,X360,8.7
60,Tomb Raider,PC,8.5
61,DmC: Devil May Cry,X360,5.1
62,Assassin's Creed IV: Black Flag,X360,7.9
63,Minecraft: PlayStation 3 Edition,PS3,6.7
64,Diablo III,PS3,6.4
65,Rocksmith 2014 Edition,PS3,8.4
66,FIFA 14,PS3,4.3
67,Grand Theft Auto V,PS4,8.3
68,The Last of Us Remastered,PS4,9.1
69,Super Smash Bros. for Wii U,WiiU,9
70,Dark Souls II,X360,7.9
71,Bayonetta 2,WiiU,9
