,Genre,NA_Sales,PAL_Sales,JP_Sales,Year
0,Sports,0,0.01,0.0,1970.0
1,Visual Novel,0.0,0.0,0.0,1970.0
2,Role-Playing,0.25,0.13,0.21,1970.0
3,Misc,0,0.04,0.0,1970.0
4,Action,0.2,0.0,0.0,1970.0
5,Adventure,0,0.0,0.24,1970.0
6,Sports,0.0,0.0,0.0,1973.0
7,Visual Novel,0.0,0.0,0.0,1973.0
8,Sandbox,0.0,0.0,0.0,1973.0
9,Sports,0.0,0.0,0.0,1975.0
10,Visual Novel,0.0,0.0,0.0,1975.0
11,Sandbox,0.0,0.0,0.0,1975.0
12,Sports,0,0.0,0.0,1977.0
13,Visual Novel,0,0.0,0.0,1977.0
14,Racing,0.26,0.01,0.0,1977.0
15,Shooter,0.91,0.06,0.0,1977.0
16,Sandbox,0,0.0,0.0,1977.0
17,Action,1.17,0.07,0.0,1977.0
18,Sports,0,0.0,0.0,1978.0
19,Visual Novel,0,0.0,0.0,1978.0
20,Sandbox,0,0.0,0.0,1978.0
21,Shooter,2.36,0.14,0.0,1978.0
22,Action,1.1,0.07,0.0,1978.0
23,Adventure,1.21,0.08,0.0,1978.0
24,Sandbox,0.0,0.0,0.0,1979.0
25,Visual Novel,0.0,0.0,0.0,1979.0
26,Sports,0,0.0,0.0,1979.0
27,Action,0.29,0.02,0.0,1979.0
28,Sports,0.48,0.03,0.0,1980.0
29,Visual Novel,0,0.0,0.0,1980.0
30,Sandbox,0,0.0,0.0,1980.0
31,Misc,0.47,0.03,0.0,1980.0
32,Fighting,1.16,0.07,0.0,1980.0
33,Sports,0.46,0.03,0.0,1981.0
34,Visual Novel,0,0.0,0.0,1981.0
35,Sandbox,0,0.0,0.0,1981.0
36,Shooter,7.550000000000001,0.48000000000000004,0.0,1981.0
37,Action,1.76,0.11000000000000001,0.0,1981.0
38,Sports,0,0.0,0.0,1982.0
39,Platform,5.57,0.32,0.0,1982.0
40,Visual Novel,0,0.0,0.0,1982.0
41,Shooter,10.99,0.65,0.0,1982.0
42,Sandbox,0,0.0,0.0,1982.0
43,Action,13.49,0.79,0.0,1982.0
44,Sports,0,0.0,0.0,1983.0
45,Platform,6.8100000000000005,0.4,0.0,1983.0
46,Racing,0,0.14,0.0,1983.0
47,Shooter,2.35,0.0,0.0,1983.0
48,Visual Novel,0,0.0,0.0,1983.0
49,Sandbox,0,0.0,0.0,1983.0
50,Action,6.66,0.42000000000000004,0.0,1983.0
51,Sports,0,0.0,0.0,1984.0
52,Platform,0,0.0,0.69,1984.0
