,Unnamed: 0,Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,User_Score
0,0,1,Wii Sports,Sports,E,Wii,Nintendo,Nintendo EAD,7.7,82.86,0.0,0.0,0.0,0.0,2006.0,8.0
1,1,2,Super Mario Bros.,Platform,NP,NES,Nintendo,Nintendo EAD,10.0,40.24,0.0,0.0,0.0,0.0,1985.0,0.0
2,2,3,Mario Kart Wii,Racing,E,Wii,Nintendo,Nintendo EAD,8.2,37.14,0.0,0.0,0.0,0.0,2008.0,8.3
4,4,5,Wii Sports Resort,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,33.09,0.0,0.0,0.0,0.0,2009.0,8.0
5,5,6,Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo,Game Freak,9.4,31.38,0.0,0.0,0.0,0.0,1998.0,0.0
6,6,7,New Super Mario Bros.,Platform,E,DS,Nintendo,Nintendo EAD,9.1,30.8,0.0,0.0,0.0,0.0,2006.0,8.5
8,8,9,New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,Nintendo EAD,8.6,30.22,0.0,0.0,0.0,0.0,2009.0,8.4
9,9,10,Minecraft,Misc,NP,PC,Mojang,Mojang AB,10.0,30.01,0.0,0.0,0.0,0.0,2010.0,7.5
11,11,12,Wii Play,Misc,E,Wii,Nintendo,Nintendo EAD,5.9,28.02,0.0,0.0,0.0,0.0,2007.0,6.5
12,12,13,Kinect Adventures!,Party,E,X360,Microsoft Game Studios,Good Science Studio,6.7,24.0,0.0,0.0,0.0,0.0,2010.0,6.4
13,13,14,Nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,8.4,23.96,0.0,0.0,0.0,0.0,2005.0,0.0
14,14,15,Mario Kart DS,Racing,E,DS,Nintendo,Nintendo EAD,9.1,23.6,0.0,0.0,0.0,0.0,2005.0,8.6
15,15,16,Pokemon Gold / Silver Version,Role-Playing,E,GB,Nintendo,Game Freak,9.2,23.1,0.0,0.0,0.0,0.0,2000.0,0.0
16,16,17,Wii Fit,Sports,E,Wii,Nintendo,Nintendo EAD,7.9,22.67,0.0,0.0,0.0,0.0,2008.0,7.7
17,17,18,Wii Fit Plus,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,21.13,0.0,0.0,0.0,0.0,2009.0,7.3
18,18,19,Super Mario World,Platform,E,SNES,Nintendo,Nintendo EAD,8.5,20.61,0.0,0.0,0.0,0.0,1991.0,0.0
19,19,20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,20.32,6.37,9.85,0.99,3.12,2013.0,8.3
20,20,21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,19.39,6.06,9.71,0.6,3.02,2014.0,8.3
21,21,22,Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8.1,19.01,0.0,0.0,0.0,0.0,2006.0,0.0
24,24,25,Mario Kart 7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,18.11,0.0,0.0,0.0,0.0,2011.0,8.3
25,25,26,Pokemon Diamond / Pearl Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,17.67,0.0,0.0,0.0,0.0,2007.0,0.0
